id_client,nom,prenom,email,date_naissance,sexe,ville,telephone,date_inscription,canal_acquisition
C00001,Idrissi,Mohammed,mohammed.idrissi251@yahoo.fr,1998-01-02,h,TETOUAN,0614265799,2020-03-02,social_media
C00002,Gharbi,Mehdi,mehdi.gharbi734@outlook.com,1954-01-02,h,el jadida,0631429110,30/11/2023,email
C00003,Karimi,Omar,omar.karimi105@gmail.com,1966-01-02,Homme,marrakech,0671662963,2023-01-03,paid_search
C00004,Jamai,Mehdi,mehdi.jamai850@outlook.com,1965-01-01,h,beni mellal,0616150444,2023-09-16,email
C00005,Hajji,Hicham,hicham.hajji888@gmail.com,1953-01-01,Homme,AGADIR,0638119557,2023-10-04,direct
C00006,Chraibi,Tariq,tariq.chraibi176@outlook.com,1991-01-02,male,MARRAKECH,0653524491,22/04/2024,social_media
C00007,Karimi,Adil,adil.karimi411@hotmail.com,1939-01-02,Homme,NADOR,0663100814,09/08/2023,email
C00008,Tazi,Omar,omar.tazi552@hotmail.com,1957-01-01,h,agadir,0628566572,09/11/2022,influencer
C00009,Drissi,Hicham,hicham.drissi157@yahoo.fr,1957-01-01,h,OUJDA,0689978790,16/08/2022,referral
C00010,Drissi,Samir,samir.drissi699@outlook.com,1929-01-01,Homme,Marrakesh,0631227574,2022-07-18,direct
C00011,Fassi,Meryem,meryem.fassi520@gmail.com,1973-01-01,F,FES,0660185867,2024-04-10,influencer
C00012,Karimi,Tariq,tariq.karimi501@gmail.com,1965-01-01,Homme,TNG,0686149359,2020-06-10,paid_search
C00013,Tazi,Adil,adil.tazi785@yahoo.fr,1951-01-02,h,Marrakesh,0638427073,09/01/2023,direct
C00014,Jamai,Nabil,nabil.jamai409@hotmail.com,1945-01-01,male,FES,0618593410,2021-11-23,referral
C00015,Hajji,Tariq,tariq.hajji8@gmail.com,2004-01-02,1,errachidia,0654349361,25/05/2020,email
C00016,Tazi,Leila,leila.tazi136@outlook.com,1980-01-02,female,fes,0623009833,11/09/2023,paid_search
C00017,Benali,Zineb,zineb.benali690@gmail.com,1968-01-02,0,FES,0681979055,2022-07-07,social_media
C00018,Hajji,Zineb,zineb.hajji896@gmail.com,1941-01-01,f,nador,0622517517,Mar 23 2024,social_media
C00019,Rachidi,Zineb,zineb.rachidi219@menara.ma,1990-01-02,f,OUJDA,0671070189,07/08/2021,direct
C00020,Gharbi,Sara,sara.gharbi304@yahoo.fr,1937-01-01,f,BENI MELLAL,0617672593,12/04/2020,referral
C00021,Senhaji,Mohammed,mohammed.senhaji83@yahoo.fr,2003-01-02,1,CASA,0687701200,2023-05-02,organic
C00022,Ziani,Rim,rim.ziani579@outlook.com,1978-01-02,Femme,Fès,0663121477,25/09/2020,email
C00023,Chaoui,Sanaa,sanaa.chaoui10@menara.ma,1939-01-02,f,kenitra,0677898694,2021-06-27,email
C00024,Hajji,Ayoub,ayoub.hajji379@hotmail.com,1942-01-02,Homme,Eljadida,0680993218,17/01/2020,referral
C00025,Filali,Yasmine,yasmine.filali107@yahoo.fr,1998-01-02,0,Mrakech,0691178885,07/03/2021,social_media
C00026,Rachidi,Meryem,meryem.rachidi258@gmail.com,1957-01-01,f,TANGER,0627558317,Jul 28 2023,social_media
C00027,Naciri,Meryem,meryem.naciri575@gmail.com,1923-01-02,F,TANGER,0688183110,2023-02-05,social_media
C00028,Lahlou,Hassan,hassan.lahlou921@gmail.com,1985-01-01,1,Agdir,0664543049,25/06/2023,social_media
C00029,Fassi,Adil,adil.fassi903@menara.ma,1969-01-01,male,MARRAKECH,0624508349,Feb 22 2022,influencer
C00030,Gharbi,Leila,leila.gharbi837@menara.ma,1982-01-02,f,nador,0663481198,2021-11-03,organic
C00031,Chraibi,Sanaa,sanaa.chraibi522@menara.ma,1943-01-02,f,Casa,0633966966,Apr 04 2023,email
C00032,Bensaid,Ahmed,ahmed.bensaid445@hotmail.com,1971-01-02,male,kenitra,0661700055,2023-03-26,organic
C00033,Senhaji,Fatima,fatima.senhaji948@outlook.com,1926-01-02,Femme,oujda,0699152472,07/11/2021,direct
C00034,Jamai,Nabil,nabil.jamai520@hotmail.com,1970-01-02,male,kenitra,0635748341,11/05/2022,paid_search
C00035,Ziani,Tariq,tariq.ziani309@menara.ma,2011-01-02,Homme,Fez,0687844239,27/05/2023,paid_search
C00036,Filali,Zineb,zineb.filali219@outlook.com,1990-01-02,Femme,kénitra,0694951883,2023-06-22,influencer
C00037,Jamai,Samir,samir.jamai231@yahoo.fr,2006-01-02,1,tetouan,0671124923,Apr 28 2022,referral
C00038,Moussaoui,Nabil,nabil.moussaoui507@menara.ma,1928-01-02,m,EL JADIDA,0639372360,Dec 26 2020,direct
C00039,Tazi,Fatima,fatima.tazi256@gmail.com,1952-01-02,F,TETOUAN,0669401199,Jun 08 2023,referral
C00040,Tazi,Imane,imane.tazi457@yahoo.fr,1951-01-02,Femme,el jadida,0695585469,21/07/2021,referral
C00041,Hajji,Rim,rim.hajji282@menara.ma,1975-01-02,Femme,AGADIR,0682498004,2020-06-14,social_media
C00042,El Mansouri,Hajar,hajar.el mansouri724@yahoo.fr,1959-01-02,F,MEKNES,0618357162,Feb 27 2021,paid_search
C00043,Ziani,Hicham,hicham.ziani390@menara.ma,1973-01-01,male,kénitra,0683300637,May 20 2023,paid_search
C00044,Naciri,Hassan,hassan.naciri498@gmail.com,1926-01-02,male,SAFI,0627129912,28/06/2023,paid_search
C00045,Chraibi,Ahmed,ahmed.chraibi439@yahoo.fr,1988-01-02,m,OUJDA,0638408562,2022-07-20,influencer
C00046,Naciri,Nadia,nadia.naciri259@gmail.com,1942-01-02,Femme,fes,0697477029,23/03/2020,social_media
C00047,Alami,Hicham,hicham.alami637@yahoo.fr,1951-01-02,m,Fez,0644392446,2024-04-19,referral
C00048,Fassi,Adil,adil.fassi988@hotmail.com,2008-01-02,Homme,NADOR,0663238057,2024-01-04,referral
C00049,Jamai,Ahmed,ahmed.jamai871@outlook.com,1939-01-02,m,KENITRA,0698787891,2022-01-28,direct
C00050,Naciri,Fatima,fatima.naciri843@menara.ma,1965-01-01,0,oujda,0680027662,2023-08-25,influencer
C00051,Naciri,Zineb,zineb.naciri846@outlook.com,1980-01-02,Femme,ERRACHIDIA,0642730796,16/03/2024,referral
C00052,Alami,Sanaa,sanaa.alami507@hotmail.com,1984-01-02,Femme,AGADIR,0690014570,Dec 07 2023,referral
C00053,Gharbi,Mehdi,mehdi.gharbi88@yahoo.fr,1949-01-01,h,BENI MELLAL,0696691619,28/12/2023,influencer
C00054,Jamai,Ahmed,ahmed.jamai227@menara.ma,1972-01-02,h,Meknès,0681259135,05/12/2021,direct
C00055,Ouali,Sanaa,sanaa.ouali278@hotmail.com,1996-01-02,Femme,CASA,0635708194,19/03/2021,email
C00056,Gharbi,Aisha,aisha.gharbi304@yahoo.fr,1973-01-01,F,RABAT,0616109013,21/04/2020,direct
C00057,Rachidi,Samir,samir.rachidi106@gmail.com,1951-01-02,male,agadir,0616895666,Jun 01 2021,paid_search
C00058,Chaoui,Hicham,hicham.chaoui411@menara.ma,1931-01-02,m,Rbat,0650780112,Jun 23 2020,organic
C00059,Bensaid,Khadija,khadija.bensaid810@outlook.com,1945-01-01,female,ERRACHIDIA,0649910061,Apr 20 2023,email
C00060,Drissi,Tariq,tariq.drissi971@yahoo.fr,1978-01-02,m,FES,0684087145,2020-06-02,paid_search
C00061,Bensaid,Hajar,hajar.bensaid482@hotmail.com,1975-01-02,female,CASA,0645507920,01/06/2024,referral
C00062,Drissi,Amine,amine.drissi558@yahoo.fr,1977-01-01,1,TNG,0651286958,03/05/2023,referral
C00063,Drissi,Zineb,zineb.drissi480@hotmail.com,1977-01-01,F,MEKNES,0620796722,2023-05-09,paid_search
C00064,Idrissi,Khadija,khadija.idrissi27@gmail.com,1925-01-01,F,TANGER,0687342561,23/03/2020,social_media
C00065,Chraibi,Meryem,meryem.chraibi453@hotmail.com,1937-01-01,female,casablanca ,0656702542,2022-04-16,direct
C00066,Fassi,Hicham,hicham.fassi338@menara.ma,1975-01-02,male,Tnja,0621819185,2021-10-06,organic
C00067,Senhaji,Imane,imane.senhaji845@gmail.com,1942-01-02,female,TNG,0679583757,10/01/2022,paid_search
C00068,Benali,Soukaina,soukaina.benali209@hotmail.com,1975-01-02,female,casablanca,0694560158,31/05/2023,direct
C00069,Tazi,Hassan,hassan.tazi15@outlook.com,1983-01-02,m,CASA,0676890827,2024-01-07,direct
C00070,Rachidi,Houda,houda.rachidi484@yahoo.fr,1993-01-01,0,errachidia,0619369750,19/07/2021,influencer
C00071,Senhaji,Sanaa,sanaa.senhaji274@gmail.com,1973-01-01,F,NADOR,0629944139,03/07/2022,email
C00072,Tazi,Meryem,meryem.tazi387@menara.ma,1987-01-02,F,oujda,0665133300,2020-03-30,paid_search
C00073,Filali,Houda,houda.filali812@yahoo.fr,2007-01-02,F,TETOUAN,0623470708,2022-06-20,paid_search
C00074,El Mansouri,Nabil,nabil.el mansouri420@yahoo.fr,1978-01-02,Homme,BENI MELLAL,0697219599,Jun 13 2020,influencer
C00075,Chraibi,Sanaa,sanaa.chraibi736@menara.ma,2007-01-02,f,Fès,0640532691,2024-03-09,organic
C00076,Fassi,Rachid,rachid.fassi711@hotmail.com,2006-01-02,Homme,Mrakech,0660310319,2022-06-01,referral
C00077,Filali,Khadija,khadija.filali812@yahoo.fr,2001-01-01,female,Tétouan,0642323627,Oct 16 2022,social_media
C00078,Chraibi,Rachid,rachid.chraibi261@menara.ma,2010-01-02,male,nador,0619913576,Jun 23 2022,referral
C00079,Naciri,Rim,rim.naciri707@hotmail.com,1973-01-01,female,SAFI,0624314759,2021-04-30,email
C00080,Jamai,Hajar,hajar.jamai23@menara.ma,1939-01-02,F,BENI MELLAL,0648412328,07/05/2024,referral
C00081,Chraibi,Leila,leila.chraibi195@outlook.com,1927-01-02,f,errachidia,0651464269,2022-06-21,email
C00082,Jamai,Ahmed,ahmed.jamai335@menara.ma,1995-01-02,h,kénitra,0646578001,2020-12-02,influencer
C00083,Jamai,Soukaina,soukaina.jamai765@hotmail.com,1952-01-02,0,el jadida,0663339667,2023-02-15,influencer
C00084,Idrissi,Fatima,fatima.idrissi550@gmail.com,1925-01-01,F,Oujda ,0659858348,09/08/2020,paid_search
C00085,Tazi,Tariq,tariq.tazi336@outlook.com,2003-01-02,male,NADOR,0625659979,2020-10-13,organic
C00086,Drissi,Zineb,zineb.drissi100@yahoo.fr,1994-01-02,female,Agdir,0682503409,08/05/2022,direct
C00087,Naciri,Ayoub,ayoub.naciri671@gmail.com,1933-01-01,male,TANGER,0639161443,27/06/2022,social_media
C00088,Filali,Aisha,aisha.filali377@outlook.com,1929-01-01,f,OUJDA,0635475673,Sep 07 2020,influencer
C00089,Filali,Aisha,aisha.filali218@outlook.com,2005-01-01,0,Rbat,0637542226,May 20 2020,referral
C00090,Gharbi,Tariq,tariq.gharbi833@yahoo.fr,1993-01-01,h,MARRAKECH,0627447248,2023-01-11,social_media
C00091,Alami,Samir,samir.alami135@gmail.com,1981-01-01,h,TNG,0645617024,2020-04-17,paid_search
C00092,Chaoui,Nabil,nabil.chaoui488@menara.ma,1946-01-02,h,Meknès,0639735904,2023-06-13,influencer
C00093,Chraibi,Zineb,zineb.chraibi988@gmail.com,1950-01-02,female,nador,0675802771,Dec 29 2023,organic
C00094,Bensaid,Karim,karim.bensaid152@gmail.com,1932-01-02,h,BENI MELLAL,0661124122,08/05/2023,paid_search
C00095,Drissi,Aisha,aisha.drissi874@outlook.com,1984-01-02,female,errachidia,0665541117,Nov 25 2021,paid_search
C00096,Drissi,Hajar,hajar.drissi321@menara.ma,1979-01-02,0,NADOR,0619010480,Jul 05 2020,organic
C00097,Lahlou,Aisha,aisha.lahlou832@yahoo.fr,1936-01-02,F,Agdir,0626405605,2022-04-21,direct
C00098,Benali,Imane,imane.benali992@hotmail.com,1966-01-02,F,kenitra,0630767532,06/09/2023,influencer
C00099,Tazi,Karim,karim.tazi377@gmail.com,1938-01-02,1,safi,0691737913,Sep 09 2023,email
C00100,Idrissi,Youssef,youssef.idrissi720@hotmail.com,1967-01-02,m,safi,0686010330,08/09/2023,social_media
C00101,Senhaji,Ahmed,ahmed.senhaji221@menara.ma,1964-01-02,Homme,Eljadida,0690023800,Jun 22 2020,social_media
C00102,Bensaid,Adil,adil.bensaid51@gmail.com,1949-01-01,h,OUJDA,0638933176,26/03/2024,email
C00103,Jamai,Aisha,aisha.jamai695@outlook.com,2006-01-02,female,tetouan,0611031743,2021-02-22,social_media
C00104,Idrissi,Adil,adil.idrissi297@hotmail.com,1956-01-02,1,Oujda ,0640884937,21/10/2022,direct
C00105,Moussaoui,Aisha,aisha.moussaoui883@gmail.com,2002-01-02,F,Oujda ,0664280720,24/12/2023,email
C00106,Alami,Amine,amine.alami990@hotmail.com,1953-01-01,Homme,oujda,0642657384,11/06/2022,referral
C00107,Jamai,Amine,amine.jamai764@hotmail.com,2002-01-02,h,kénitra,0636025314,2024-05-08,direct
C00108,Drissi,Omar,omar.drissi150@hotmail.com,1928-01-02,m,Eljadida,0676319264,08/08/2022,influencer
C00109,Ziani,Rim,rim.ziani659@outlook.com,1971-01-02,female,casablanca ,0669352161,2023-07-17,email
C00110,Senhaji,Karim,karim.senhaji76@hotmail.com,1964-01-02,Homme,nador,0692545028,01/05/2023,paid_search
C00111,Ziani,Rachid,rachid.ziani668@yahoo.fr,1992-01-02,m,Casa,0621318464,30/10/2022,organic
C00112,Ouali,Nabil,nabil.ouali450@outlook.com,1964-01-02,Homme,OUJDA,0690246882,17/04/2020,direct
C00113,Karimi,Aisha,aisha.karimi97@outlook.com,1927-01-02,0,agadir,0688213973,2023-09-21,email
C00114,Filali,Rim,rim.filali402@yahoo.fr,1972-01-02,female,NADOR,0627152188,04/10/2023,direct
C00115,Filali,Samir,samir.filali434@outlook.com,1988-01-02,1,EL JADIDA,0635770506,Apr 08 2021,social_media
C00116,Drissi,Hassan,hassan.drissi520@outlook.com,2007-01-02,Homme,Rbat,0660562485,2020-11-11,influencer
C00117,Ouali,Nabil,nabil.ouali45@menara.ma,1955-01-02,h,Eljadida,0670254091,24/04/2021,email
C00118,Gharbi,Yasmine,yasmine.gharbi377@outlook.com,1975-01-02,F,KENITRA,0631751079,Feb 12 2021,social_media
C00119,Chraibi,Fatima,fatima.chraibi493@hotmail.com,1945-01-01,Femme,CASA,0646613428,Jul 09 2022,social_media
C00120,Hajji,Aisha,aisha.hajji837@menara.ma,1958-01-02,female,KENITRA,0641645597,Mar 01 2022,email
C00121,Karimi,Mohammed,mohammed.karimi954@gmail.com,1993-01-01,1,Marrakesh,0628628439,03/04/2024,paid_search
C00122,Chaoui,Ayoub,ayoub.chaoui20@hotmail.com,1934-01-02,h,Casa,0641895531,2021-09-08,social_media
C00123,Bensaid,Rim,rim.bensaid469@gmail.com,1935-01-02,f,nador,0629270557,19/08/2021,referral
C00124,Ziani,Leila,leila.ziani427@yahoo.fr,1965-01-01,F,kénitra,0678131950,2023-02-08,influencer
C00125,Chraibi,Fatima,fatima.chraibi397hotmail.com,1967-01-02,f,Eljadida,0654629892,2020-09-30,referral
C00126,Chraibi,Imane,imane.chraibi180@menara.ma,1988-01-02,f,BENI MELLAL,0614963880,2021-08-23,influencer
C00127,Benali,Ayoub,ayoub.benali324@hotmail.com,1942-01-02,male,TNG,0648401154,Jan 01 2022,organic
C00128,Drissi,Nadia,nadia.drissi819@hotmail.com,1955-01-02,Femme,RABAT,0676776459,Jan 22 2022,referral
C00129,Chaoui,Soukaina,soukaina.chaoui745@menara.ma,1988-01-02,Femme,agadir,0620746667,02/11/2021,email
C00130,Naciri,Khadija,khadija.naciri171@menara.ma,1966-01-02,female,marrakech,0620071854,06/10/2023,email
C00131,El Mansouri,Mohammed,mohammed.el mansouri870@outlook.com,1995-01-02,m,Eljadida,0659167775,2022-01-11,referral
C00132,El Mansouri,Tariq,tariq.el mansouri696@menara.ma,2002-01-02,h,KENITRA,0663423225,05/10/2021,social_media
C00133,Fassi,Mohammed,mohammed.fassi512@outlook.com,1978-01-02,Homme,Fès,0675927774,2021-02-13,influencer
C00134,Fassi,Rachid,rachid.fassi921@menara.ma,1971-01-02,Homme,kénitra,0648971765,Sep 06 2021,direct
C00135,Lahlou,Adil,adil.lahlou521@yahoo.fr,1994-01-02,1,TANGER,0684359498,2023-03-18,influencer
C00136,Chaoui,Tariq,tariq.chaoui68@hotmail.com,1950-01-02,h,EL JADIDA,0687161840,2020-05-31,email
C00137,Ouali,Rachid,rachid.ouali697@outlook.com,1941-01-01,h,el jadida,0668065043,Oct 26 2022,organic
