id_client_sk,id_client_nk,nom_complet,tranche_age,sexe,ville,region_admin,segment_client,canal_acquisition,date_debut,date_fin,est_actif
1,C00691,Ahmed Tazi,45-54,m,Rabat,Rabat-Salé-Kénitra,Gold,organic,2026-06-01,9999-12-31,True
2,C01924,Ahmed Gharbi,25-34,m,Agadir,Souss-Massa,Gold,email,2026-06-01,9999-12-31,True
3,C02008,Rim Moussaoui,55-64,f,Oujda,Oriental,Gold,direct,2026-06-01,9999-12-31,True
4,C02251,Hicham Ziani,65+,m,Rabat,Rabat-Salé-Kénitra,Gold,direct,2026-06-01,9999-12-31,True
5,C01635,Hajar Jamai,65+,f,Marrakech,Marrakech-Safi,Gold,influencer,2026-06-01,9999-12-31,True
6,C01916,Hassan Filali,65+,m,Oujda,Oriental,Gold,influencer,2026-06-01,9999-12-31,True
7,C00647,Rachid Benali,25-34,m,Meknès,Fès-Meknès,Gold,paid_search,2026-06-01,9999-12-31,True
8,C00471,Leila Ziani,65+,f,Tanger,Tanger-Tétouan-Al Hoceïma,Gold,organic,2026-06-01,9999-12-31,True
9,C02507,Aisha Filali,65+,f,El Jadida,Casablanca-Settat,Bronze,direct,2026-06-01,9999-12-31,True
10,C00339,Hassan Bensaid,<18,m,Kenitra,Rabat-Salé-Kénitra,Gold,social_media,2026-06-01,9999-12-31,True
11,C02372,Yasmine Rachidi,65+,f,Agadir,Souss-Massa,Gold,referral,2026-06-01,9999-12-31,True
12,C02655,Rachid Chaoui,65+,m,Agadir,Souss-Massa,Gold,organic,2026-06-01,9999-12-31,True
13,C01669,Sanaa El Mansouri,18-24,f,Safi,Marrakech-Safi,Gold,email,2026-06-01,9999-12-31,True
14,C00198,Ahmed Hajji,65+,m,El Jadida,Casablanca-Settat,Gold,social_media,2026-06-01,9999-12-31,True
15,C00161,Sanaa Hajji,45-54,f,Tétouan,Tanger-Tétouan-Al Hoceïma,Gold,email,2026-06-01,9999-12-31,True
16,C02222,Youssef Lahlou,45-54,m,Safi,Marrakech-Safi,Gold,paid_search,2026-06-01,9999-12-31,True
17,C01601,Hajar Idrissi,45-54,f,Fès,Fès-Meknès,Gold,social_media,2026-06-01,9999-12-31,True
18,C00372,Aisha El Mansouri,65+,f,Errachidia,Drâa-Tafilalet,Gold,influencer,2026-06-01,9999-12-31,True
19,C01583,Mohammed Karimi,25-34,m,Rabat,Rabat-Salé-Kénitra,Gold,paid_search,2026-06-01,9999-12-31,True
20,C00505,Imane Karimi,55-64,f,Tétouan,Tanger-Tétouan-Al Hoceïma,Gold,email,2026-06-01,9999-12-31,True
21,C01622,Tariq Ouali,18-24,m,El Jadida,Casablanca-Settat,Gold,paid_search,2026-06-01,9999-12-31,True
22,C01461,Sanaa Fassi,<18,f,Oujda,Oriental,Gold,influencer,2026-06-01,9999-12-31,True
23,C01614,Meryem Idrissi,25-34,f,Tanger,Tanger-Tétouan-Al Hoceïma,Gold,organic,2026-06-01,9999-12-31,True
24,C01370,Nabil Ziani,25-34,m,Fès,Fès-Meknès,Gold,referral,2026-06-01,9999-12-31,True
25,C00562,Mehdi Drissi,65+,m,Marrakech,Marrakech-Safi,Gold,direct,2026-06-01,9999-12-31,True
26,C02607,Leila Gharbi,65+,f,Kenitra,Rabat-Salé-Kénitra,Gold,influencer,2026-06-01,9999-12-31,True
27,C02389,Zineb Tazi,65+,f,Rabat,Rabat-Salé-Kénitra,Gold,direct,2026-06-01,9999-12-31,True
28,C02964,Adil El Mansouri,65+,m,Béni Mellal,Béni Mellal-Khénifra,Gold,referral,2026-06-01,9999-12-31,True
29,C01638,Karim Lahlou,18-24,m,Rabat,Rabat-Salé-Kénitra,Gold,influencer,2026-06-01,9999-12-31,True
30,C02643,Hicham Naciri,45-54,m,Fès,Fès-Meknès,Gold,paid_search,2026-06-01,9999-12-31,True
31,C02570,Mehdi Idrissi,45-54,m,Agadir,Souss-Massa,Gold,social_media,2026-06-01,9999-12-31,True
32,C01913,Nadia Senhaji,35-44,f,Marrakech,Marrakech-Safi,Gold,direct,2026-06-01,9999-12-31,True
33,C02355,Leila Benali,65+,f,Kenitra,Rabat-Salé-Kénitra,Silver,social_media,2026-06-01,9999-12-31,True
34,C00594,Hassan Gharbi,65+,m,Tétouan,Tanger-Tétouan-Al Hoceïma,Gold,social_media,2026-06-01,9999-12-31,True
35,C02480,Youssef Chraibi,65+,m,El Jadida,Casablanca-Settat,Gold,social_media,2026-06-01,9999-12-31,True
36,C02782,Yasmine Fassi,65+,f,Kenitra,Rabat-Salé-Kénitra,Gold,direct,2026-06-01,9999-12-31,True
37,C02317,Adil Bensaid,65+,m,Marrakech,Marrakech-Safi,Gold,social_media,2026-06-01,9999-12-31,True
38,C02218,Sara Jamai,45-54,f,El Jadida,Casablanca-Settat,Gold,organic,2026-06-01,9999-12-31,True
39,C02486,Leila Hajji,65+,f,Oujda,Oriental,Gold,influencer,2026-06-01,9999-12-31,True
40,C00510,Hassan Filali,35-44,m,Rabat,Rabat-Salé-Kénitra,Gold,influencer,2026-06-01,9999-12-31,True
41,C00533,Adil Jamai,65+,m,Rabat,Rabat-Salé-Kénitra,Gold,influencer,2026-06-01,9999-12-31,True
42,C00001,Mohammed Idrissi,25-34,m,Tétouan,Tanger-Tétouan-Al Hoceïma,Gold,social_media,2026-06-01,9999-12-31,True
43,C02766,Ahmed Filali,18-24,m,Casablanca,Casablanca-Settat,Gold,social_media,2026-06-01,9999-12-31,True
44,C02451,Mehdi Karimi,65+,m,Fès,Fès-Meknès,Gold,influencer,2026-06-01,9999-12-31,True
45,C00745,Fatima Hajji,65+,f,Fès,Fès-Meknès,Gold,organic,2026-06-01,9999-12-31,True
46,C02472,Omar Chaoui,35-44,m,Agadir,Souss-Massa,Gold,email,2026-06-01,9999-12-31,True
47,C02375,Tariq Chaoui,18-24,m,Tétouan,Tanger-Tétouan-Al Hoceïma,Gold,referral,2026-06-01,9999-12-31,True
48,C02805,Yasmine Jamai,18-24,f,Tétouan,Tanger-Tétouan-Al Hoceïma,Gold,organic,2026-06-01,9999-12-31,True
49,C00466,Omar Alami,65+,m,Kenitra,Rabat-Salé-Kénitra,Gold,email,2026-06-01,9999-12-31,True
50,C00284,Fatima Hajji,65+,f,Agadir,Souss-Massa,Gold,direct,2026-06-01,9999-12-31,True
51,C02205,Khadija Ouali,<18,f,Errachidia,Drâa-Tafilalet,Gold,organic,2026-06-01,9999-12-31,True
52,C02543,Youssef Gharbi,65+,m,Tétouan,Tanger-Tétouan-Al Hoceïma,Gold,organic,2026-06-01,9999-12-31,True
53,C00713,Hajar Drissi,65+,f,Casablanca,Casablanca-Settat,Gold,social_media,2026-06-01,9999-12-31,True
54,C02569,Sara Gharbi,65+,f,Béni Mellal,Béni Mellal-Khénifra,Gold,social_media,2026-06-01,9999-12-31,True
55,C02651,Tariq Tazi,65+,m,Marrakech,Marrakech-Safi,Gold,organic,2026-06-01,9999-12-31,True
56,C01679,Hassan Karimi,35-44,m,Meknès,Fès-Meknès,Gold,social_media,2026-06-01,9999-12-31,True
57,C02746,Yasmine Tazi,35-44,f,El Jadida,Casablanca-Settat,Gold,referral,2026-06-01,9999-12-31,True
58,C00690,Adil Gharbi,35-44,m,Meknès,Fès-Meknès,Gold,social_media,2026-06-01,9999-12-31,True
59,C01105,Samir Gharbi,18-24,m,Oujda,Oriental,Gold,social_media,2026-06-01,9999-12-31,True
60,C02538,Sara Lahlou,65+,f,Errachidia,Drâa-Tafilalet,Gold,referral,2026-06-01,9999-12-31,True
